# k re_decimal im_decimal
0 -0.621093750000 -1.585937500000
1 1.037142611595 -0.570980879433
2 -0.151213251126 0.336085831279
3 -0.086893011020 0.195270108568
4 0.304380743321 -0.468617004371
5 -0.129773410379 -0.623423549660
6 -0.933367740410 -1.456424693620
7 0.178594241479 2.610627665833
8 0.620993554422 -0.712048884278
9 -0.278453677007 -1.289084401457
10 0.444052227389 0.604881271023
11 0.605589330973 1.027476438627
12 -0.467359260951 -0.170093160353
13 0.693340713815 -1.264408885974
14 -0.296694089684 0.104796688865
15 0.403258755169 -0.447378876664
16 -0.480611640338 0.082625925357
17 0.182378719737 0.117557885944
18 0.191454438121 0.327189568895
19 0.476992025248 -0.499475351287
20 -1.499989728692 -0.481035615794
21 0.370083437967 0.371674151433
22 -1.412344619917 -0.440591442814
23 0.170749239356 -0.284076347781
24 0.058389550483 -1.387068960140
25 0.234561466566 -0.620952699616
26 0.527685979617 -1.735437735284
27 0.287090897498 -0.139729097624
28 -0.157829814531 0.103998572864
29 2.156820101720 -0.573313936252
30 0.933384739568 0.550274892093
31 0.930512257408 -1.476576468038
32 -0.253906250000 -0.070312500000
33 1.860253901566 1.579108932360
34 1.246019580509 0.903471609254
35 -0.132340358230 -0.016182134754
36 -0.985725229129 -0.206621528261
37 -1.906067390475 -0.613273150691
38 -0.043245233874 -0.291428003158
39 0.041417057448 0.833266957360
40 -0.091583945640 0.191848977410
41 0.457860234813 -0.030523047275
42 -1.412308997709 0.986677500035
43 -1.185013005039 -1.528472969830
44 0.423302313911 0.168823339838
45 -1.004149655264 -0.703369220027
46 -0.321935221927 0.853018864966
47 -0.279528730627 0.140940612726
48 -1.231979954500 -0.172612565695
49 0.094416527521 1.145655851652
50 -0.130699613994 -0.519947843030
51 0.671751296884 -0.651705911920
52 1.565640787579 -0.151383579914
53 0.588943108693 1.112524003249
54 0.277241580321 1.617443322056
55 -0.175429506918 -0.542536222882
56 -1.754097082184 -1.056932409770
57 1.411145902816 -0.003381195705
58 -0.369665615054 1.543337028436
59 1.164501256249 -1.027271821636
60 -0.243772813933 -0.399950000490
61 0.942290778022 -0.205282487177
62 -0.329148673449 0.202403194182
63 -0.258481124032 0.618119501039
64 0.324218750000 -0.703125000000
65 -0.703485664024 0.175663194705
66 -0.173523930142 0.958667593590
67 0.081349945660 -0.819993801633
68 0.437792632635 0.757141347655
69 0.230521225414 -1.721641689742
70 0.552062851121 0.888597910976
71 -0.181438642919 0.292537257175
72 2.168909943534 0.414332886322
73 -1.483298737659 0.370392182849
74 -1.084324530395 -1.084998333942
75 -1.602779467951 0.626386394713
76 -0.737575693236 0.670353492564
77 -1.057944640883 -0.173383662553
78 0.394274470716 -1.311098887821
79 -1.370062514988 -1.230282361696
80 0.480611640338 1.518936574643
81 -0.771454820961 -0.273970812091
82 1.054648392902 -0.138994467511
83 -0.248226995181 -1.616340917441
84 0.198757637421 1.307464954035
85 -0.665350626241 0.132233464799
86 -1.127524631254 -0.864904050121
87 -2.675948124587 1.117251896998
88 -0.250965422160 0.888504633453
89 -0.708484029920 -0.390758888266
90 -0.047964670344 -3.289139219841
91 0.930705804558 0.620424970121
92 -0.014560171576 -1.102773757292
93 0.380670162342 0.819550501480
94 1.537042689530 -1.235983375190
95 0.576077503996 -1.665772154825
96 1.691406250000 0.796875000000
97 0.069894152028 -0.233536821134
98 0.335404154844 1.528987121503
99 0.362623706467 -1.046973451216
100 -0.382749101839 1.407564400724
101 2.111541782703 -0.920695395212
102 2.066226959805 1.051161588162
103 -1.380565526988 0.353839471961
104 0.848555447685 1.543367020546
105 0.375177451625 0.702477271763
106 0.369350336838 -2.208356424241
107 -1.239229095019 -0.169755827295
108 -0.575712011054 1.200475759446
109 0.167396656554 0.802978153340
110 0.380978899011 0.520052128451
111 -0.029444379694 -1.091606330428
112 0.778854954500 -0.647699934305
113 -0.677203413952 -0.871959828120
114 0.644757267743 1.002511359029
115 -0.388926397715 -0.483119722073
116 0.611892258703 -0.820762974074
117 -0.352151157828 -1.078903246193
118 -0.516454466407 -0.051189588535
119 0.204552748892 1.045925943701
120 -0.537702046140 -0.038253263543
121 0.674136767892 0.083919423558
122 -0.006171769197 0.035065140805
123 0.619206931649 0.551448577296
124 -0.101492548631 -0.002084246576
125 0.574241521202 0.374108779444
126 0.277002486850 0.238871451510
127 -0.345666118025 -0.921266027095
