# re_q88_int im_q88_int
3 -55
115 -48
-91 -48
115 20
-48 121
-20 70
84 75
-23 66
13 25
-121 107
65 49
10 0
-44 -108
74 -3
-50 -74
-12 -94
-94 2
-25 73
-76 -52
-61 69
64 7
-56 -90
-4 119
123 -25
118 -52
58 89
11 -96
-57 60
-87 -80
120 -28
4 -69
-98 87
32 -28
71 122
29 32
107 50
-118 6
7 -49
-10 -27
-112 113
36 -76
90 125
24 66
-61 -36
87 36
2 -30
3 -30
65 1
-90 -124
82 -2
47 121
73 -55
-79 64
77 -15
-79 -74
-107 104
91 -124
92 -50
96 128
-7 -61
-58 89
-126 27
37 78
56 33
86 -35
-56 67
-73 -121
36 -14
78 -33
119 -6
-89 -95
-5 -71
101 16
-20 -29
23 75
-122 27
44 92
107 59
84 26
99 -54
41 72
-65 -64
69 -109
-74 118
85 10
-112 70
83 7
-86 29
-32 -119
-47 -80
49 45
-82 18
-27 -87
-127 116
-61 -88
-20 3
-101 -91
34 56
-31 -57
58 -94
39 -116
-18 -83
94 -79
34 9
79 -13
-41 117
11 116
-78 76
127 44
-66 88
-62 112
-109 -122
-62 -98
67 -36
51 -104
-95 25
-32 -61
-20 -60
42 -54
-11 -103
22 62
87 39
58 27
-35 -119
-13 -18
-34 47
-100 -88
-76 -29
