# re_q88_int im_q88_int
-25 -108
-18 -55
-15 -15
81 54
-25 0
39 23
17 15
37 5
-30 4
0 50
-14 37
-41 -106
35 -67
5 -7
12 47
-36 -55
64 -54
-17 -58
42 -2
-1 93
-20 89
-119 -50
37 -103
56 -2
4 142
-46 22
137 61
116 -45
36 80
-32 -59
45 97
27 5
73 26
95 -93
84 -93
19 21
39 -13
23 -14
20 -224
-41 -7
-54 37
-170 94
-86 -56
-73 10
44 70
-33 -80
73 -43
-37 -11
13 125
-83 -107
22 -82
-89 -28
-26 76
-150 9
-68 -44
-88 5
114 29
20 53
45 10
-24 -55
83 -12
-19 -22
-26 80
-17 -41
-8 31
-4 -36
-29 71
73 -33
-16 -50
74 -26
4 61
63 37
-99 -96
-16 -27
-12 98
94 109
67 -21
73 -77
4 26
-38 12
-39 40
-50 -6
-38 51
-29 -24
-14 -33
-77 -49
-75 11
-19 28
32 35
3 11
-39 19
-91 -49
-110 -28
-2 -13
106 116
117 59
-2 16
53 -70
90 -34
135 16
2 -8
35 -27
-3 -111
68 -51
-29 -98
9 -33
-69 -17
-16 16
-81 -31
31 -42
-1 36
39 -5
-56 5
35 -15
-8 -11
25 -86
-14 -21
47 100
5 2
15 -68
29 -32
1 120
-43 -25
-24 -81
18 -59
0 63
-1 -4
50 -44
