# re_q88_int im_q88_int
64 0
60 22
49 41
33 55
12 63
-9 63
-30 56
-47 43
-59 24
-64 3
-61 -19
-51 -38
-36 -53
-16 -62
6 -64
27 -58
45 -45
58 -27
64 -6
62 16
53 36
38 51
19 61
-3 64
-24 59
-43 47
-56 30
-63 9
-63 -12
-55 -33
-41 -49
-22 -60
0 -64
22 -60
41 -49
55 -33
63 -12
63 9
56 30
43 47
24 59
3 64
-19 61
-38 51
-53 36
-62 16
-64 -6
-58 -27
-45 -45
-27 -58
-6 -64
16 -62
36 -53
51 -38
61 -19
64 3
59 24
47 43
30 56
9 63
-12 63
-33 55
-49 41
-60 22
-64 0
-60 -22
-49 -41
-33 -55
-12 -63
9 -63
30 -56
47 -43
59 -24
64 -3
61 19
51 38
36 53
16 62
-6 64
-27 58
-45 45
-58 27
-64 6
-62 -16
-53 -36
-38 -51
-19 -61
3 -64
24 -59
43 -47
56 -30
63 -9
63 12
55 33
41 49
22 60
0 64
-22 60
-41 49
-55 33
-63 12
-63 -9
-56 -30
-43 -47
-24 -59
-3 -64
19 -61
38 -51
53 -36
62 -16
64 6
58 27
45 45
27 58
6 64
-16 62
-36 53
-51 38
-61 19
-64 -3
-59 -24
-47 -43
-30 -56
-9 -63
12 -63
33 -55
49 -41
60 -22
