# re_q88_int im_q88_int
80 0
70 23
52 28
44 20
53 15
65 29
60 53
38 66
18 60
15 47
25 46
27 62
10 78
-16 76
-29 59
-25 45
-16 48
-22 61
-44 64
-63 48
-65 24
-52 13
-45 20
-55 27
-73 18
-80 -6
-67 -27
-48 -29
-44 -20
-55 -18
-64 -34
-56 -57
-33 -67
-15 -58
-15 -46
-24 -49
-23 -66
-4 -79
21 -74
31 -55
24 -43
17 -49
26 -61
49 -61
66 -42
64 -20
50 -12
46 -20
58 -25
76 -13
78 12
63 30
46 29
44 20
56 21
63 40
51 62
27 68
12 56
15 46
24 51
19 69
-3 80
-26 71
-33 51
-24 42
-19 50
-31 62
-54 58
-68 36
-63 15
-49 11
-47 20
-62 23
-78 7
-77 -18
-59 -33
-43 -29
-45 -20
-57 -25
-61 -45
-46 -65
-22 -67
-10 -55
-15 -46
-23 -54
-15 -72
9 -80
30 -67
34 -48
24 -42
21 -52
36 -61
59 -54
69 -31
61 -12
48 -10
49 -20
65 -20
79 -1
74 24
55 35
42 29
46 21
58 29
59 51
40 68
17 67
8 53
15 46
21 58
10 75
-15 78
-34 63
-34 45
-24 42
-24 53
-41 60
-63 49
-70 25
-59 8
-47 10
-51 19
-68 16
-79 -5
-71 -29
-51 -37
-40 -29
