# re_q88_int im_q88_int
64 0
-64 3
64 -6
-63 9
63 -12
-62 16
61 -19
-60 22
59 -24
-58 27
56 -30
-55 33
53 -36
-51 38
49 -41
-47 43
45 -45
-43 47
41 -49
-38 51
36 -53
-33 55
30 -56
-27 58
24 -59
-22 60
19 -61
-16 62
12 -63
-9 63
6 -64
-3 64
0 -64
3 64
-6 -64
9 63
-12 -63
16 62
-19 -61
22 60
-24 -59
27 58
-30 -56
33 55
-36 -53
38 51
-41 -49
43 47
-45 -45
47 43
-49 -41
51 38
-53 -36
55 33
-56 -30
58 27
-59 -24
60 22
-61 -19
62 16
-63 -12
63 9
-64 -6
64 3
-64 0
64 -3
-64 6
63 -9
-63 12
62 -16
-61 19
60 -22
-59 24
58 -27
-56 30
55 -33
-53 36
51 -38
-49 41
47 -43
-45 45
43 -47
-41 49
38 -51
-36 53
33 -55
-30 56
27 -58
-24 59
22 -60
-19 61
16 -62
-12 63
9 -63
-6 64
3 -64
0 64
-3 -64
6 64
-9 -63
12 63
-16 -62
19 61
-22 -60
24 59
-27 -58
30 56
-33 -55
36 53
-38 -51
41 49
-43 -47
45 45
-47 -43
49 41
-51 -38
53 36
-55 -33
56 30
-58 -27
59 24
-60 -22
61 19
-62 -16
63 12
-63 -9
64 6
-64 -3
