# k re_q88 im_q88
0 0.628906 -1.515625
1 1.460938 -0.949219
2 0.523438 -0.710938
3 -2.394531 0.898438
4 1.648438 -0.746094
5 0.792969 0.539062
6 -0.980469 -0.355469
7 1.011719 -1.554688
8 0.644531 -0.605469
9 0.585938 -1.687500
10 0.039062 -0.007812
11 0.976562 -2.074219
12 -1.386719 -2.039062
13 -0.285156 2.699219
14 -0.875000 -0.101562
15 1.132812 -0.082031
16 0.089844 0.945312
17 -0.578125 -0.777344
18 -1.347656 -0.417969
19 -0.476562 0.789062
20 0.046875 0.566406
21 -0.425781 -2.109375
22 2.433594 1.550781
23 1.851562 -1.160156
24 -4.996094 -1.988281
25 -3.398438 -1.601562
26 -0.292969 -0.742188
27 -0.699219 3.050781
28 0.398438 -2.179688
29 0.375000 0.253906
30 3.890625 -3.968750
31 -2.042969 -0.007812
32 -0.691406 1.648438
33 3.730469 -0.453125
34 1.136719 -1.214844
35 1.187500 0.433594
36 -0.964844 1.273438
37 -3.023438 1.199219
38 0.304688 3.585938
39 0.167969 0.375000
40 0.039062 0.015625
41 -0.007812 0.000000
42 0.035156 0.019531
43 0.015625 0.042969
44 -0.015625 0.027344
45 0.003906 -0.003906
46 0.019531 0.042969
47 0.039062 0.058594
48 -0.019531 0.000000
49 0.046875 0.035156
50 0.101562 0.074219
51 0.019531 0.000000
52 -0.023438 -0.031250
53 0.011719 -0.023438
54 -0.035156 0.023438
55 -0.011719 -0.046875
56 1.664062 1.628906
57 -0.070312 -2.097656
58 -2.335938 -1.410156
59 -0.664062 0.105469
60 0.085938 -2.851562
61 0.476562 0.281250
62 -1.765625 -0.906250
63 -1.996094 2.312500
64 0.347656 1.765625
65 -0.812500 -4.933594
66 0.429688 0.093750
67 1.410156 -2.976562
68 -3.007812 2.027344
69 0.480469 0.328125
70 2.269531 0.996094
71 -0.566406 -1.945312
72 -1.480469 3.355469
73 -0.015625 -0.023438
74 0.015625 0.023438
75 0.078125 0.058594
76 0.011719 -0.023438
77 -0.011719 -0.011719
78 -0.031250 0.015625
79 0.023438 -0.003906
80 0.003906 -0.015625
81 -0.046875 -0.035156
82 -0.128906 -0.050781
83 0.046875 0.046875
84 0.023438 0.019531
85 0.058594 0.023438
86 -0.066406 0.058594
87 -0.007812 -0.003906
88 -0.035156 0.011719
89 0.914062 -0.367188
90 1.636719 -0.609375
91 0.457031 0.121094
92 -0.171875 -0.562500
93 -0.523438 1.332031
94 1.890625 -0.539062
95 -4.136719 -0.273438
96 -0.253906 -1.210938
97 0.058594 -0.992188
98 -2.558594 -2.261719
99 0.625000 0.957031
100 -1.191406 -2.054688
101 1.609375 -1.332031
102 -0.187500 0.632812
103 1.214844 0.734375
104 2.218750 -0.750000
105 0.625000 -3.773438
106 -1.589844 0.777344
107 -2.898438 0.410156
108 3.218750 -2.621094
109 -0.238281 1.394531
110 -1.316406 -1.300781
111 0.289062 -2.050781
112 -0.324219 0.195312
113 1.609375 -0.332031
114 0.031250 0.363281
115 0.019531 -2.992188
116 -1.312500 3.320312
117 0.902344 -1.125000
118 -1.894531 -2.835938
119 1.214844 1.132812
120 2.851562 -0.605469
121 -2.851562 0.550781
122 -4.570312 -0.613281
123 1.109375 -0.121094
124 4.703125 0.500000
125 -1.828125 -1.382812
126 -2.281250 1.289062
127 1.128906 -0.859375
