# k re_q88 im_q88
0 0.000000 0.000000
1 32.011719 -0.046875
2 0.000000 0.000000
3 0.000000 0.000000
4 0.000000 0.000000
5 0.050781 -0.019531
6 0.000000 0.000000
7 0.000000 0.000000
8 0.000000 0.000000
9 0.015625 0.015625
10 0.000000 0.000000
11 0.000000 0.000000
12 0.000000 0.000000
13 0.062500 -0.027344
14 0.000000 0.000000
15 0.000000 0.000000
16 0.000000 0.000000
17 -0.125000 -0.019531
18 0.000000 0.000000
19 0.000000 0.000000
20 0.000000 0.000000
21 0.031250 0.011719
22 0.000000 0.000000
23 0.000000 0.000000
24 0.000000 0.000000
25 0.074219 0.058594
26 0.000000 0.000000
27 0.000000 0.000000
28 0.000000 0.000000
29 -0.019531 0.000000
30 0.000000 0.000000
31 0.000000 0.000000
32 0.000000 0.000000
33 -0.050781 0.000000
34 0.000000 0.000000
35 0.000000 0.000000
36 0.000000 0.000000
37 -0.007812 -0.015625
38 0.000000 0.000000
39 0.000000 0.000000
40 0.000000 0.000000
41 -0.031250 0.007812
42 0.000000 0.000000
43 0.000000 0.000000
44 0.000000 0.000000
45 -0.058594 0.015625
46 0.000000 0.000000
47 0.000000 0.000000
48 0.000000 0.000000
49 -0.031250 0.050781
50 0.000000 0.000000
51 0.000000 0.000000
52 0.000000 0.000000
53 -0.035156 0.023438
54 0.000000 0.000000
55 0.000000 0.000000
56 0.000000 0.000000
57 0.113281 0.027344
58 0.000000 0.000000
59 0.000000 0.000000
60 0.000000 0.000000
61 -0.015625 0.015625
62 0.000000 0.000000
63 0.000000 0.000000
64 0.000000 0.000000
65 0.035156 -0.007812
66 0.000000 0.000000
67 0.000000 0.000000
68 0.000000 0.000000
69 0.042969 0.027344
70 0.000000 0.000000
71 0.000000 0.000000
72 0.000000 0.000000
73 0.039062 -0.007812
74 0.000000 0.000000
75 0.000000 0.000000
76 0.000000 0.000000
77 -0.015625 -0.035156
78 0.000000 0.000000
79 0.000000 0.000000
80 0.000000 0.000000
81 -0.078125 -0.035156
82 0.000000 0.000000
83 0.000000 0.000000
84 0.000000 0.000000
85 -0.015625 -0.019531
86 0.000000 0.000000
87 0.000000 0.000000
88 0.000000 0.000000
89 0.035156 0.019531
90 0.000000 0.000000
91 0.000000 0.000000
92 0.000000 0.000000
93 -0.035156 -0.023438
94 0.000000 0.000000
95 0.000000 0.000000
96 0.000000 0.000000
97 0.003906 0.007812
98 0.000000 0.000000
99 0.000000 0.000000
100 0.000000 0.000000
101 -0.023438 -0.007812
102 0.000000 0.000000
103 0.000000 0.000000
104 0.000000 0.000000
105 -0.117188 -0.062500
106 0.000000 0.000000
107 0.000000 0.000000
108 0.000000 0.000000
109 0.042969 0.000000
110 0.000000 0.000000
111 0.000000 0.000000
112 0.000000 0.000000
113 0.046875 0.019531
114 0.000000 0.000000
115 0.000000 0.000000
116 0.000000 0.000000
117 0.019531 0.031250
118 0.000000 0.000000
119 0.000000 0.000000
120 0.000000 0.000000
121 -0.003906 -0.027344
122 0.000000 0.000000
123 0.000000 0.000000
124 0.000000 0.000000
125 0.039062 0.023438
126 0.000000 0.000000
127 0.000000 0.000000
