# k re_q88 im_q88
0 -1.714844 7.222656
1 -3.214844 11.625000
2 -9.437500 30.914062
3 15.550781 -46.023438
4 4.890625 -13.039062
5 3.117188 -7.476562
6 2.363281 -5.273438
7 1.945312 -3.976562
8 1.718750 -3.187500
9 1.640625 -2.566406
10 1.460938 -2.199219
11 1.390625 -2.031250
12 1.324219 -1.730469
13 1.277344 -1.480469
14 1.246094 -1.324219
15 1.316406 -1.164062
16 1.269531 -1.000000
17 1.273438 -0.890625
18 1.355469 -0.699219
19 1.460938 -0.546875
20 1.609375 -0.324219
21 1.949219 -0.042969
22 2.843750 0.628906
23 12.921875 8.132812
24 -2.281250 -2.921875
25 -0.542969 -1.570312
26 -0.191406 -1.300781
27 0.085938 -0.988281
28 0.167969 -0.910156
29 0.226562 -0.824219
30 0.347656 -0.765625
31 0.390625 -0.660156
32 0.394531 -0.621094
33 0.414062 -0.605469
34 0.378906 -0.605469
35 0.417969 -0.500000
36 0.437500 -0.492188
37 0.457031 -0.417969
38 0.453125 -0.417969
39 0.441406 -0.457031
40 0.542969 -0.339844
41 0.496094 -0.304688
42 0.527344 -0.250000
43 0.531250 -0.289062
44 0.507812 -0.281250
45 0.464844 -0.285156
46 0.437500 -0.210938
47 0.480469 -0.203125
48 0.480469 -0.207031
49 0.476562 -0.132812
50 0.531250 -0.031250
51 0.488281 -0.171875
52 0.437500 -0.144531
53 0.492188 -0.105469
54 0.480469 -0.113281
55 0.449219 -0.093750
56 0.484375 -0.070312
57 0.492188 -0.027344
58 0.476562 -0.117188
59 0.425781 -0.062500
60 0.480469 -0.035156
61 0.515625 -0.027344
62 0.496094 -0.011719
63 0.546875 0.007812
64 0.472656 0.035156
65 0.488281 0.023438
66 0.453125 0.078125
67 0.449219 0.031250
68 0.437500 0.117188
69 0.476562 0.093750
70 0.472656 0.125000
71 0.390625 0.101562
72 0.460938 0.140625
73 0.437500 0.097656
74 0.476562 0.167969
75 0.546875 0.234375
76 0.464844 0.183594
77 0.417969 0.175781
78 0.394531 0.207031
79 0.441406 0.210938
80 0.449219 0.234375
81 0.382812 0.218750
82 0.363281 0.175781
83 0.476562 0.335938
84 0.437500 0.324219
85 0.449219 0.277344
86 0.476562 0.363281
87 0.375000 0.375000
88 0.429688 0.343750
89 0.378906 0.390625
90 0.386719 0.308594
91 0.390625 0.339844
92 0.378906 0.433594
93 0.398438 0.433594
94 0.402344 0.476562
95 0.382812 0.488281
96 0.378906 0.503906
97 0.406250 0.503906
98 0.417969 0.566406
99 0.363281 0.539062
100 0.406250 0.585938
101 0.371094 0.628906
102 0.351562 0.675781
103 0.332031 0.691406
104 0.292969 0.667969
105 0.238281 0.664062
106 0.300781 0.843750
107 0.156250 0.789062
108 0.296875 0.859375
109 0.214844 0.855469
110 0.265625 0.937500
111 0.246094 1.031250
112 0.238281 1.050781
113 0.273438 1.101562
114 0.187500 1.164062
115 0.136719 1.273438
116 0.156250 1.347656
117 0.125000 1.511719
118 0.089844 1.542969
119 0.050781 1.726562
120 0.007812 1.835938
121 -0.078125 1.972656
122 -0.125000 2.234375
123 -0.246094 2.507812
124 -0.308594 2.917969
125 -0.515625 3.433594
126 -0.683594 4.160156
127 -1.085938 5.351562
