# k re_q88 im_q88
0 0.375000 -0.468750
1 -0.089844 -1.441406
2 0.921875 0.242188
3 -0.386719 1.363281
4 1.367188 -1.277344
5 5.234375 0.250000
6 -0.257812 1.800781
7 -1.406250 0.324219
8 -2.722656 -2.433594
9 0.566406 -4.246094
10 0.679688 -1.984375
11 2.320312 -0.496094
12 -1.597656 -0.351562
13 -0.222656 -2.351562
14 -2.421875 -1.800781
15 -0.535156 1.546875
16 2.304688 -1.980469
17 0.621094 -0.605469
18 1.351562 0.031250
19 -1.171875 -0.812500
20 1.882812 0.738281
21 -0.976562 1.230469
22 -1.968750 0.523438
23 -0.558594 -3.828125
24 -1.714844 0.019531
25 0.402344 -2.511719
26 2.320312 1.105469
27 0.937500 -1.835938
28 -0.105469 2.011719
29 -1.914062 -0.503906
30 -0.832031 1.007812
31 1.375000 -0.667969
32 1.187500 -2.546875
33 -0.417969 0.816406
34 2.988281 1.089844
35 -1.242188 0.460938
36 1.042969 -0.562500
37 0.152344 2.347656
38 0.511719 0.742188
39 1.007812 -1.269531
40 2.214844 2.597656
41 0.191406 -0.207031
42 -0.734375 -1.054688
43 0.414062 1.394531
44 0.894531 -1.570312
45 -0.218750 -2.628906
46 -2.488281 1.953125
47 2.914062 2.058594
48 -0.035156 -1.511719
49 -0.917969 -1.648438
50 2.714844 -1.015625
51 -3.445312 0.945312
52 0.359375 -3.179688
53 -1.070312 -1.718750
54 0.195312 -1.609375
55 -2.210938 -0.773438
56 -2.375000 -2.285156
57 -1.925781 1.164062
58 2.578125 -0.429688
59 -1.082031 2.730469
60 -1.246094 -2.019531
61 0.203125 -0.714844
62 0.062500 3.121094
63 -0.242188 -2.867188
64 1.578125 -2.921875
65 -0.839844 2.371094
66 -1.289062 1.632812
67 -0.535156 0.472656
68 -1.375000 -1.480469
69 -1.515625 -0.554688
70 0.992188 0.777344
71 -0.007812 0.113281
72 -3.496094 0.605469
73 1.378906 -2.214844
74 -3.195312 -0.093750
75 0.250000 0.996094
76 2.886719 1.210938
77 2.105469 1.796875
78 0.539062 -0.988281
79 0.058594 2.773438
80 -0.156250 -1.480469
81 -3.441406 0.566406
82 2.117188 0.664062
83 1.226562 -0.546875
84 2.156250 0.035156
85 1.187500 -2.214844
86 -3.148438 1.078125
87 1.566406 2.375000
88 -0.964844 2.019531
89 1.605469 0.722656
90 2.070312 -0.964844
91 1.343750 0.781250
92 0.121094 -0.003906
93 1.664062 0.003906
94 0.042969 1.437500
95 -1.625000 0.683594
96 -1.046875 0.640625
97 -0.730469 -0.230469
98 0.035156 0.285156
99 -3.492188 1.453125
100 0.136719 -0.289062
101 0.613281 0.785156
102 1.488281 -1.757812
103 0.906250 0.785156
104 -0.542969 -1.050781
105 0.441406 2.933594
106 2.765625 -1.226562
107 0.750000 -0.035156
108 1.488281 -0.179688
109 -0.539062 -0.394531
110 2.964844 -0.351562
111 -1.984375 0.746094
112 -0.363281 0.238281
113 1.066406 1.296875
114 -1.308594 -1.117188
115 0.515625 0.789062
116 0.867188 4.515625
117 -0.375000 -2.000000
118 -0.031250 -1.867188
119 -1.671875 -3.382812
120 0.070312 -0.691406
121 -3.035156 1.109375
122 0.171875 0.585938
123 -0.714844 0.402344
124 -1.816406 0.402344
125 -0.328125 -0.707031
126 0.039062 -0.066406
127 -2.398438 0.320312
